,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,name,milliseconds
0,0,26,26,Sochi Autodrom,30928.49610075914
1,1,17,17,Autodromo Enzo e Dino Ferrari,30907.3
2,2,13,13,Marina Bay Street Circuit,30288.860964592663
3,3,7,7,Silverstone Circuit,28971.243827066348
4,4,21,21,Circuit Paul Ricard,28739.723913043475
5,5,28,28,Autódromo Internacional do Algarve,28589.96
6,6,5,5,Circuit de Monaco,26505.243492799003
7,7,2,2,Bahrain International Circuit,25430.15407412385
8,8,1,1,Sepang International Circuit,25379.975892716586
9,9,12,12,Autodromo Nazionale di Monza,25205.42581542724
10,10,24,24,Circuit of the Americas,25043.86274358191
11,11,6,6,Circuit Gilles Villeneuve,23887.201071239742
12,12,18,18,Suzuka Circuit,23816.57316374841
13,13,23,23,Buddh International Circuit,23796.45005526389
14,14,4,4,Istanbul Park,23660.82966299633
15,15,0,0,Albert Park Grand Prix Circuit,23551.830299789195
16,16,20,20,Autódromo Hermanos Rodríguez,23465.44449469886
17,17,15,15,Autódromo José Carlos Pace,23454.64849649243
18,18,11,11,Circuit de Spa-Francorchamps,23385.08316918938
19,19,14,14,Shanghai International Circuit,22820.619811140303
20,20,3,3,Circuit de Barcelona-Catalunya,22496.15936128936
21,21,19,19,Yas Marina Circuit,22415.54931289731
22,22,25,25,Red Bull Ring,22383.006860902256
23,23,22,22,Korean International Circuit,22381.248150406504
24,24,9,9,Hungaroring,22374.92986502306
25,25,29,29,Autodromo Internazionale del Mugello,22284.975609756097
26,26,16,16,Nürburgring,22174.01595959596
27,27,10,10,Valencia Street Circuit,21997.846467817893
28,28,27,27,Baku City Circuit,21428.630557485994
29,29,8,8,Hockenheimring,20627.834523809524
